# ----------------------------------------,,,,,
# www.techism.de,,,,,
# Pages,,,,,
# 20101001-20120315,,,,,
# ----------------------------------------,,,,,
,,,,,
Page,Pageviews,Unique Pageviews,Avg. Time on Page,Bounce Rate,% Exit
/events/tags/java/,110,86,00:00:37,52.63%,30.00%
/events/tags/agile/,63,55,00:00:57,72.73%,34.92%
/events/tags/projektmanagement/,57,50,00:00:23,80.00%,21.05%
/events/tags/php/,56,47,00:01:05,50.00%,25.00%
/events/tags/open source/,52,43,00:00:36,100.00%,23.08%
/events/tags/cms/,47,43,00:00:41,50.00%,14.89%
/events/tags/javascript/,47,43,00:00:53,75.00%,27.66%
/events/tags/node.js/,39,28,00:00:15,71.43%,30.77%
/events/tags/ccc/,38,36,00:00:12,0.00%,26.32%
/events/tags/startups/,38,25,00:00:42,100.00%,28.95%
/events/tags/typo3/,36,32,00:01:24,100.00%,38.89%
/events/tags/it security/,34,26,00:00:44,33.33%,26.47%
/events/tags/architektur/,31,21,00:00:11,50.00%,6.45%
/events/tags/python/,28,22,00:00:09,0.00%,21.43%
/events/tags/socializing/,28,17,00:01:08,0.00%,3.57%
/events/tags/web/,27,27,00:00:25,100.00%,37.04%
/events/tags/augmented reality/,25,19,00:00:20,0.00%,24.00%
/events/tags/atlassian/,24,21,00:00:31,0.00%,12.50%
/events/tags/drupal/,24,18,00:00:44,100.00%,25.00%
/events/tags/openstreetmap/,24,21,00:00:26,100.00%,33.33%
/events/tags/münchen/,23,20,00:00:09,100.00%,21.74%
/events/tags/eclipse/,22,19,00:03:10,83.33%,54.55%
/events/tags/games/,22,18,00:00:43,50.00%,9.09%
/events/tags/linux/,22,15,00:00:06,0.00%,9.09%
/events/tags/open government/,21,12,00:00:15,0.00%,14.29%
/events/tags/.net/,20,15,00:00:08,100.00%,25.00%
/events/tags/design/,20,17,00:01:15,0.00%,40.00%
/events/tags/git/,20,18,00:00:10,100.00%,15.00%
/events/tags/software/,20,14,00:00:09,0.00%,0.00%
/events/tags/typographie/,19,18,00:00:25,0.00%,21.05%
/events/tags/fotografie/,18,13,00:02:52,45.45%,38.89%
/events/tags/lasercutter/,18,14,00:00:37,100.00%,16.67%
/events/tags/social media/,18,15,00:00:31,100.00%,27.78%
/events/tags/android/,17,17,00:00:26,100.00%,35.29%
/events/tags/cloud/,17,17,00:00:23,100.00%,41.18%
/events/tags/mobile/,17,15,00:00:35,0.00%,41.18%
/events/tags/mongodb/,16,10,00:00:08,0.00%,25.00%
/events/tags/scrum/,15,14,00:02:33,0.00%,26.67%
/events/tags/google/,14,10,00:00:08,0.00%,14.29%
/events/tags/jira/,14,11,00:00:11,0.00%,21.43%
/events/tags/cloud computing/,13,7,00:00:40,0.00%,0.00%
/events/tags/hadoop/,13,8,00:00:17,50.00%,23.08%
/events/tags/kommunikation/,13,10,00:00:22,0.00%,7.69%
/events/tags/wirtschaftsspionage/,13,12,00:00:16,0.00%,23.08%
/events/tags/arduino/,12,12,00:00:05,0.00%,33.33%
/events/tags/confluence/,12,10,00:00:08,0.00%,0.00%
/events/tags/bpmn/,11,9,00:01:27,0.00%,9.09%
/events/tags/c++/,11,9,00:00:19,0.00%,9.09%
/events/tags/collaborative consumption/,11,7,00:03:48,20.00%,45.45%
/events/tags/e-publishing/,11,10,00:00:56,50.00%,27.27%
/events/tags/entwicklung/,11,7,00:00:05,0.00%,9.09%
/events/tags/gtug munich/,11,8,00:00:05,100.00%,18.18%
/events/tags/tex/,11,10,00:00:49,100.00%,27.27%
/events/tags/webfonts/,11,9,00:00:07,0.00%,45.45%
/events/tags/kanban/,10,9,00:00:18,0.00%,30.00%
/events/tags/keywords: phonegap/,10,3,00:01:24,33.33%,20.00%
/events/tags/offshoring/,10,6,00:00:43,0.00%,10.00%
/events/tags/solr/,10,7,00:00:30,66.67%,40.00%
/events/tags/zope/,10,7,00:00:06,0.00%,10.00%
