title,url,tags,date_time_end,date_time_modified,date_time_begin,published
Drupal München Meeting,http://groups.drupal.org/node/80159,,,2010-11-07T08:38:59,2010-07-21T17:00:00,True
SailFin CAFE: Portable Framework for Simplifying Converged Web application development,http://haug-server.dyndns.org/display/JUGM/JUGM%2BTermine,,,2010-11-07T08:39:33,2010-08-02T17:00:00,True
GTUG GDD PreHackathon,http://munich.gtugs.org/gdd10hackathon,google,2010-11-08T18:00:00,2010-11-17T15:19:11,2010-11-07T09:00:00,True
Einfuehrung in Distributed Version Control Systems,http://www.guug.de/lokal/muenchen,,,2010-11-07T08:25:43,2009-07-13T17:00:00,True
Patterns for Effective Use Cases,http://blog.thinkphp.de/archives/449-Patterns-for-Effective-Use-Cases-VortragMayflower-Muenchen.html,,,2010-11-07T08:28:11,2009-10-29T17:00:00,True
OpenStreetMap-Treff,http://wiki.openstreetmap.org/index.php/M%C3%BCnchen,,,2010-11-07T08:30:01,2009-12-15T18:00:00,True
TEG: Gründerabend mit VerkehrsmittelVergleich.de,http://www.amiando.com/TEG_verkehrsmittelvergleich.html,,,2010-11-07T08:31:21,2010-01-26T18:00:00,True
Lockpicker-Treff,http://www.example.com,,,2010-11-07T08:24:39,2009-04-29T17:00:00,True
Munich OpenSolaris Usergroup Treffen,http://www.mucosug.org/,,,2010-11-07T08:25:06,2009-05-20T17:00:00,True
Lösungen aus einem Guss - LiSoG>>Open Source Stack,http://wwwspies.informatik.tu-muenchen.de,,,2010-11-07T08:30:30,2010-01-11T18:30:00,True
dojo.connect() Developer Day,http://dojoconnectmunich.eventbrite.com,,2010-02-12T22:00:00,2010-11-07T08:31:52,2010-02-12T14:00:00,True
Münchener Zope User Group,http://www.zope.de/redaktion/rzug-muenchen/rzug-muenchen/,,,2010-11-07T08:31:56,2010-02-16T17:30:00,True
Nerd Nite,http://muenchen.nerdnite.com/,,,2010-11-07T08:32:35,2010-02-24T19:00:00,True
OpenHUG Meeting,http://hbaseexplorer.wordpress.com/2010/04/27/3rd-munich-openhug-on-may-6/,,,2010-11-07T08:35:15,2010-05-06T16:00:00,True
OpenStreetMap-Treff,http://wiki.openstreetmap.org/index.php/M%C3%BCnchen,,,2010-11-07T08:35:44,2010-05-18T17:00:00,True
Ruby User Group München,http://ruby-muenchen.de/treffen,,,2010-11-07T08:38:43,2010-07-12T17:00:00,True
.NET Developers Group,http://www.munichdot.net/post/2010/09/09/Meeting-im-September-2192010.aspx,,,2010-11-07T08:41:36,2010-09-21T16:00:00,True
Treffen der LUG Ottobrunn,http://www.lug-ottobrunn.de,,,2010-11-07T08:25:44,2009-07-15T18:00:00,True
Treffen der LUG Ottobrunn,http://www.lug-ottobrunn.de,,,2010-11-07T08:26:07,2009-07-27T18:00:00,True
OpenCoffee Club Munich,http://www.example.com,,,2010-11-07T08:34:12,2010-04-02T07:00:00,True
Munich TYPO3 Usergroup,http://www.mtug.de,,,2010-11-07T08:38:29,2010-07-06T17:00:00,True
pl0gbar München #8,http://pl0gbar.mixxt.de/networks/events/show_event.4578,,,2010-11-07T08:24:38,2009-04-29T16:00:00,True
Lean-Netzwerktreffen,http://www.xing.com/net/lean/lean-thinkers-regionaltreffen-81798/lean-thinkers-treffen-in-munchen-17029534/26888534/#26888534,,,2010-11-07T08:36:08,2010-05-20T16:30:00,True
Open-Source-Treffen,http://www.opensourcetreffen.de/,,,2010-11-07T08:36:30,2010-05-28T16:00:00,True
Über den Wolken - Architekturaspekte beim Cloud-Computing,http://wwwspies.informatik.tu-muenchen.de/gi/,cloud computing,,2010-11-17T15:19:11,2010-11-08T18:30:00,True
µc³ Öffentliches Treffen,http://muc.ccc.de/treffen.html.de,ccc,,2010-11-17T15:19:12,2010-11-09T18:30:00,True
OpenStreetMap-Treff,http://wiki.openstreetmap.org/index.php/München,,,2010-11-07T08:23:52,2009-02-17T18:00:00,True
LUG München,http://www.muc-lug.de/,,,2010-11-07T08:29:02,2009-11-18T19:00:00,True
PowerShell Community Treffen,http://www.powershell-ag.de/ps/CommunityTreffen/tabid/117/Default.aspx,,,2010-11-07T08:31:29,2010-01-28T17:00:00,True
M2D2 - the MoMo Developer event - iPhone and iPad,http://www.mobile-monday.de/events/m2d2-the-momo-developer-event,,2010-05-17T21:00:00,2010-11-07T08:35:42,2010-05-17T07:30:00,True
Google Developer Day 2010,http://www.google.de/events/developerday/2010/munich/,"google,gtug munich",2010-11-09T18:00:00,2010-11-17T15:19:12,2010-11-09T08:00:00,True
Treffen der LUG Ottobrunn,http://www.lug-ottobrunn.de,,,2010-11-07T08:25:19,2009-06-03T18:00:00,True
NerdNite,http://twitter.com/nerdnite_m,,,2010-11-07T08:41:09,2010-09-08T18:00:00,True
Agile Tuesday,http://agiletuesday.org/?q=node/7,,,2010-11-07T08:41:24,2010-09-14T17:00:00,True
electronica 2010,http://www.electronica.de/de/home,,2010-11-12T17:00:00,2010-11-12T17:29:36,2010-11-09T08:00:00,True
pl0gbar München #6,http://pl0gbar.mixxt.de/networks/wiki/index.muenchen,,,2010-11-07T08:22:58,2008-10-27T18:00:00,True
