,633
php,69
cms,43
java,34
agile,34
typo3,32
web,31
drupal,29
projektmanagement,28
javascript,26
open source,24
ccc,22
socializing,20
design,19
python,18
.net,17
framework,15
openstreetmap,15
flow3,14
games,13
android,12
plone,11
wiki,11
linux,11
scrum,11
lasercutter,10
mobile,10
open government,10
it security,10
typographie,10
google,10
wikipedia,9
kanban,9
ubuntu,7
social media,7
dojo,7
hackathon,7
fablab,7
tex,6
cloud,6
stammtisch,6
jira,6
gtug munich,6
node.js,6
startups,6
coding dojo,6
eclipse,5
mac,5
augmented reality,5
confluence,5
open data,5
e-publishing,5
html5,5
atlassian,5
zope,5
joomla,5
gtug,4
computerlinguistik,4
user group,4
continuous integration,4
cloud computing,4
hardware,4
münchen,4
innovation,4
mongodb,4
buddycloud,3
jboss,3
social,3
governance,3
perl,3
requirements,3
physik,3
arduino,3
perl monger,3
user group treffen,3
meego,3
social network,3
xmas,3
web security,3
kommunikation,3
solr,3
nerds,3
tum,3
identity management,3
hadoop,3
apple,3
css3,3
security,3
git,3
ipv6,3
powershell,3
nagios,3
devop,3
google apps,2
energie,2
gtugmuc,2
clean code,2
diy,2
musik,2
netzwerk,2
requirements management,2
project management,2
gentoo,2
monitoring,2
embedded systems,2
xmpp,2
erlang,2
flex,2
schulung,2
continuous delivery,2
adobe,2
serious games,2
ajax,2
training,2
puppet,2
qualitätsmanagement,2
lucene,2
philosophie,2
latex,2
3d animation,2
mediawiki,2
testing,2
vortrag,2
scalability,2
ruby,2
houdini,2
nodejs,2
party,2
nosql,2
rest,2
libreoffice,2
open solaris,2
lean,2
uml,2
azure,2
software,2
networking,2
ui,2
gesellschaft,2
zend,2
websockets,2
mathematik,2
jenkins,2
jquery mobile,1
web service,1
redis,1
mindstorms,1
flash,1
opensource,1
jvm,1
fivestar,1
freiberufler,1
facebook,1
stackoverflow,1
gui,1
federated social network,1
personal manufacturing,1
lego mindstorms,1
netbeans,1
chrome os,1
talks,1
virtualization,1
wirtschaftsspionage,1
datenschutz,1
bdd,1
phonegap,1
entwicklung,1
typografie,1
xml,1
tags,1
search,1
elektronik,1
wie,1
marken,1
streetart,1
siri,1
unix,1
weiterbildung,1
web analytics,1
hudson,1
risk management,1
iphone,1
fastcgi,1
continuous deployment,1
ochsenkühn,1
cacert,1
karaoke,1
usability,1
open-source-treffen,1
magento,1
basteln,1
css,1
pizza,1
gaming,1
quantenmechanik,1
vorträge,1
social skills,1
entrepreneurship,1
dependency injection,1
metasploit,1
kassensysteme,1
webfonts,1
django,1
make,1
post-privacy,1
suchmaschinen,1
mogdy,1
hbase,1
verantwortung,1
ieee,1
developer,1
gamedesign,1
webshop,1
fablabmuc,1
rhetorik,1
logs,1
ec2,1
refactoring,1
sitebuilding,1
canvas,1
open,1
zabbix,1
virtualisierung,1
social networks,1
print,1
issue,1
shinken,1
ipod,1
mathe,1
ate,1
jugendmedienschutz,1
programming,1
quantified self,1
komplexitätstheorie,1
unternehmen,1
ios5,1
ecommerce,1
quality,1
tor,1
yii,1
bitcoin,1
rails,1
shell,1
tool,1
ipad,1
php on windows,1
hacker news,1
science fiction,1
video,1
asp.net,1
infrastruktur,1
animation,1
aws,1
bigquery,1
icloud,1
dom,1
physics,1
licht,1
keywords: phonegap,1
gold,1
architektur,1
graduates of the last decade,1
emf,1
qt,1
c++,1
grillen,1
socialnetwork,1
requirement,1
mglug,1
geologie,1
paketfilter,1
mayflower,1
kreativität,1
visualization,1
federated social networking,1
aug_muc,1
blogs,1
admin,1
suchen,1
robotics,1
diagramme,1
kinect,1
gründung,1
dug,1
json,1
workshop,1
smartos,1
meeting,1
fotografie,1
gae,1
laser,1
bpmn,1
googleplus,1
free document formats,1
shops,1
technology,1
webgl,1
couchdb,1
meetup,1
film,1
barcamp,1
http,1
ios,1
optik,1
fuse,1
eucalyptus,1
dau,1
opennms,1
ecmascript,1
filesystem,1
darstellung,1
solaris,1
mysql,1
change management,1
student branch,1
quantencomputer,1
women in engineering,1
wissen,1
munich,1
nginx,1
game,1
social networking,1
online marketing,1
xsl,1
zigbee,1
spring,1
twitter,1
bvsi,1
präsentation,1
scala,1
weblogs,1
creative,1
web services,1
verhandlungstechnik,1
kaffee,1
nerdmare,1
tdd,1
postgresql,1
literatur,1
clojure,1
microsoft office,1
powerpoint,1
outlook,1
communication,1
fortbildung,1
cocoa,1
usergroup,1
agile entwicklung,1
linux user group,1
snmp,1
offshoring,1
payment,1
oauth,1
embedded,1
grafikdesign,1
curl,1
system dynamics,1
free software,1
webos,1
programmierung,1
openid,1
data privacy,1
dienstleistung,1
cpu,1
oracle,1
sencha,1
